"id","marka_id","model_id","name","status"
1,1,9948,86,1
2,1,2,"ALLEX",1
3,1,3,"ALLION",1
4,1,4,"ALPHARD",1
5,1,8,"ALTEZZA",1
6,1,9,"ALTEZZA WAGON",1
7,1,9580,"AQUA",1
8,1,10,"ARISTO",1
9,1,11,"AURIS",1
10,1,12,"AVALON",1
11,1,14,"AVENSIS SEDAN",1
12,1,15,"AVENSIS WAGON",1
13,1,16,"BB",1
14,1,17,"BELTA",1
15,1,1291,"BLADE",1
16,1,20,"BREVIS",1
17,1,30771,"C-HR",1
18,1,21,"CALDINA",1
19,1,22,"CALDINA VAN",1
20,1,23,"CAMI",1
21,1,24,"CAMROAD",1
22,1,25,"CAMRY",1
23,1,4699,"CAMRY SOLARA",1
24,1,29,"CARIB",1
25,1,30,"CARINA",1
26,1,31,"CARINA ED",1
27,1,34,"CAVALIER",1
28,1,35,"CELICA",1
29,1,36,"CELSIOR",1
30,1,37,"CENTURY",1
31,1,38,"CHASER",1
32,1,39,"CLASSIC",1
33,1,40,"COASTER",1
34,1,4852,"COMFORT",1
35,1,41,"COROLLA",1
36,1,42,"COROLLA AXIO",1
37,1,43,"COROLLA CERES",1
38,1,44,"COROLLA FIELDER",1
39,1,45,"COROLLA FX",1
40,1,46,"COROLLA II",1
41,1,47,"COROLLA LEVIN",1
42,1,1922,"COROLLA RUMION",1
43,1,48,"COROLLA RUNX",1
44,1,49,"COROLLA SPACIO",1
45,1,50,"COROLLA TOURING WAGON",1
46,1,51,"COROLLA VAN",1
47,1,53,"CORONA",1
48,1,54,"CORONA EXIV",1
49,1,137,"CORONA PREMIO",1
50,1,57,"CORONA VAN",1
51,1,58,"CORSA",1
52,1,59,"CRESTA",1
53,1,60,"CROWN",1
54,1,2185,"CROWN COMFORT",1
55,1,63,"CROWN ESTATE",1
56,1,6353,"CROWN VAN",1
57,1,66,"CROWN WAGON",1
58,1,68,"CYNOS",1
59,1,71,"DUET",1
60,1,72,"DYNA",1
61,1,73,"EMINA",1
62,1,22500,"ESQUIRE",1
63,1,74,"ESTIMA",1
64,1,75,"ESTIMA HYBRID",1
65,1,1744,"FJ CRUISER",1
66,1,26566,"FUN CARGO",1
67,1,78,"FUNCARGO",1
68,1,79,"GAIA",1
69,1,26567,"GAYA",1
70,1,81,"GRANVIA",1
71,1,82,"HARRIER",1
72,1,84,"HIACE",1
73,1,86,"HIACE REGIUS",1
74,1,87,"HIACE TRUCK",1
75,1,88,"HIACE VAN",1
76,1,89,"HILUX",1
77,1,2196,"HILUX SURF",1
78,1,96,"IPSUM",1
79,1,5053,"IQ",1
80,1,97,"ISIS",1
81,1,98,"IST",1
82,1,99,"KLUGER",1
83,1,9637,"KLUGER HYBRID",1
84,1,102,"LAND CRUISER",1
85,1,106,"LAND CRUISER PRADO",1
86,1,9101,"LEXUS CT",1
87,1,2005,"LEXUS GS",1
88,1,6775,"LEXUS HS",1
89,1,2006,"LEXUS IS",1
90,1,2007,"LEXUS LS",1
91,1,11540,"LEXUS NX",1
92,1,23794,"LEXUS RC",1
93,1,2008,"LEXUS RX",1
94,1,2009,"LEXUS SC",1
95,1,109,"LITE ACE",1
96,1,110,"LITE ACE NOAH",1
97,1,113,"LITE ACE TRUCK",1
98,1,114,"LITE ACE VAN",1
99,1,115,"LITE ACE WAGON",1
100,1,2092,"LITEACE VAN",1
101,1,116,"LUCIDA",1
102,1,117,"MARK II",1
103,1,26569,"MARK II BLIT",1
104,1,26570,"MARK II QUALIS",1
105,1,119,"MARK II WAGON",1
106,1,122,"MARK X",1
107,1,1951,"MARK X ZIO",1
108,1,123,"MASTER ACE SURF",1
109,1,126,"MR-S",1
110,1,1747,"MR2",1
111,1,127,"NADIA",1
112,1,128,"NOAH",1
113,1,130,"OPA",1
114,1,1202,"OTHERS",1
115,1,134,"PASSO",1
116,1,5468,"PASSO SETTE",1
117,1,10203,"PIXIS EPOCH",1
118,1,25432,"PIXIS MEGA",1
119,1,9499,"PIXIS SPACE",1
120,1,9938,"PIXIS TRUCK",1
121,1,9877,"PIXIS VAN",1
122,1,135,"PLATZ",1
123,1,136,"PORTE",1
124,1,55,"PREMIO",1
125,1,139,"PRIUS",1
126,1,9245,"PRIUS ALPHA",1
127,1,9784,"PRIUS PHV",1
128,1,140,"PROBOX",1
129,1,141,"PROBOX VAN",1
130,1,143,"PROGRES",1
131,1,144,"PRONARD",1
132,1,148,"RACTIS",1
133,1,149,"RAUM",1
134,1,150,"RAV4",1
135,1,151,"RAV4 J",1
136,1,152,"RAV4 L",1
137,1,155,"REGIUS",1
138,1,156,"REGIUS ACE",1
139,1,2089,"REGIUS ACE COMMUTER",1
140,1,157,"REGIUS VAN",1
141,1,30887,"ROOMY",1
142,1,159,"RUSH",1
143,1,6356,"SAI",1
144,1,165,"SCEPTER WAGON",1
145,1,167,"SEQUOIA",1
146,1,168,"SERA",1
147,1,169,"SIENTA",1
148,1,170,"SOARER",1
149,1,1751,"SOLARA",1
150,1,10211,"SPADE",1
151,1,171,"SPARKY",1
152,1,172,"SPRINTER",1
153,1,2210,"SPRINTER CARIB",1
154,1,174,"SPRINTER MARINO",1
155,1,176,"SPRINTER VAN",1
156,1,178,"STARLET",1
157,1,179,"SUCCEED",1
158,1,180,"SUCCEED VAN",1
159,1,182,"SUPRA",1
160,1,183,"T100",1
161,1,184,"TACOMA",1
162,1,31073,"TANK",1
163,1,185,"TERCEL",1
164,1,187,"TOWN ACE",1
165,1,188,"TOWN ACE NOAH",1
166,1,190,"TOWN ACE TRUCK",1
167,1,191,"TOWN ACE VAN",1
168,1,192,"TOWN ACE WAGON",1
169,1,193,"TOYOACE",1
170,1,7713,"TOYOTA FORKLIFT",1
171,1,30443,"TOYOTA LEXUS",1
172,1,200,"TUNDRA",1
173,1,1853,"VANGUARD",1
174,1,2855,"VELLFIRE",1
175,1,9561,"VELLFIRE HYBRID",1
176,1,201,"VEROSSA",1
177,1,202,"VISTA",1
178,1,203,"VISTA ARDEO",1
179,1,205,"VITZ",1
180,1,206,"VOLTZ",1
181,1,207,"VOXY",1
182,1,208,"WILL",1
183,1,209,"WILL VI",1
184,1,210,"WILL VS",1
185,1,211,"WINDOM",1
186,1,212,"WISH",1
187,2,4880,"180 SX",1
188,2,1919,"AD",1
189,2,9805,"ATLAS",1
190,2,218,"ATLAS TRUCK",1
191,2,219,"AVENIR",1
192,2,2220,"BASSARA",1
193,2,9694,"BE-1",1
194,2,9806,"BIGTHUMB",1
195,2,225,"BLUEBIRD",1
196,2,227,"BLUEBIRD SYLPHY",1
197,2,31305,"BUS",1
198,2,229,"CARAVAN",1
199,2,230,"CARAVAN BUS",1
200,2,232,"CEDRIC",1
201,2,234,"CEDRIC VAN",1
202,2,235,"CEDRIC WAGON",1
203,2,236,"CEFIRO",1
204,2,238,"CIMA",1
205,2,9810,"CIVILIAN",1
206,2,2093,"CLIPPER RIO",1
207,2,240,"CLIPPER TRUCK",1
208,2,241,"CLIPPER VAN",1
209,2,243,"CONDOR",1
210,2,30916,"COUPE",1
211,2,246,"CUBE",1
212,2,9812,"CUBECUBIC",1
213,2,248,"DATSUN",1
214,2,10547,"DATSUN PICKUP",1
215,2,10565,"DAYZ",1
216,2,10860,"DAYZ ROOX",1
217,2,1463,"DUALIS",1
218,2,250,"ELGRAND",1
219,2,252,"EXA",1
220,2,253,"EXPERT",1
221,2,9814,"FAIRLADYZ",1
222,2,256,"FIGARO",1
223,2,257,"FUGA",1
224,2,9111,"FUGA HYBRID",1
225,2,258,"GAZELLE",1
226,2,259,"GLORIA",1
227,2,262,"GLORIA WAGON",1
228,2,2001,"GT-R",1
229,2,264,"HOMY",1
230,2,267,"HOMY VAN",1
231,2,8830,"JUKE",1
232,2,5060,"KIX",1
233,2,271,"LAFESTA",1
234,2,273,"LARGO",1
235,2,9817,"LATIO",1
236,2,275,"LAUREL",1
237,2,9209,"LEAF",1
238,2,276,"LEOPARD",1
239,2,278,"LEOPARD J.FERIE",1
240,2,280,"LIBERTY",1
241,2,284,"MARCH",1
242,2,287,"MISTRAL",1
243,2,288,"MOCO",1
244,2,289,"MURANO",1
245,2,290,"NISSAN",1
246,2,291,"NISSAN BUS",1
247,2,7718,"NISSAN FORKLIFT",1
248,2,293,"NISSAN TRUCK",1
249,2,294,"NISSAN UD",1
250,2,296,"NOTE",1
251,2,10675,"NT100 CLIPPER",1
252,2,10027,"NV100 CLIPPER",1
253,2,26373,"NV100 CLIPPER RIO",1
